Set	Line	KO	Gene	Sign
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	UBASH3B	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GJA1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	TMEM201	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	FRK	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	LTV1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	HDAC9	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	RGMA	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GEMIN8	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	FAM13A	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PLA2G4F	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	DTHD1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SYNGR1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	EPHB3	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CLCN2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	RILPL2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	APBB1IP	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SCN3A	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ANK2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ADA	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	RAB6B	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	DUSP2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	WFDC12	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	HCCS	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ZBTB18	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	DNASE1L1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	FANCB	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ABHD8	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	KANTR	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	HS3ST3B1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MAATS1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	RNASE4	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CUL2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ATP6AP1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	VASN	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CCDC28A	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PHKA2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	IFI204	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NOL4L	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CETN2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ENKUR	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CERS4	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	C130026I21RIK	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	OIT3	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ADAMTS9	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	POGK	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CBR2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SLC5A8	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	BAHCC1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PLAT	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	DLX3	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	APOBEC1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	EU599041	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ARTN	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CYR61	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PLXDC1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	RAP1GAP	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PGAM1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CHAF1B	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	DHRS9	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SOX5	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	AKR1C13	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PLXNA2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GSTM5	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CPOX	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SERPINB9B	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ST6GAL1	1
